brand_id,model_name
1,Друго
2,124
2,595
3,ILX
3,Integra
3,Mdx
3,NSX
3,Rdx
3,Rl
3,Rsx
3,Slx
3,TLX
3,Tl
3,Tsx
3,ZDX
4,145
4,146
4,147
4,155
4,156
4,156 sportwagon
4,159
4,159 sportwagon
4,164
4,166
4,33
4,4C
4,75
4,76
4,8C Competizione
4,90
4,Alfetta
4,Berlina
4,Brera
4,Crosswagon q4
4,Giulia
4,Giulietta
4,Gt
4,Gtv
4,Junior
4,MiTo
4,Spider
4,Sprint
4,Stelvio
4,Sud
4,Tonale
5,B10
5,B11
5,B12
5,B3
5,B4
5,B5
5,B6
5,B7
5,B8
5,B9
5,C1
5,C2
5,D3
5,D4
5,D5
5,Roadster
5,XD3
6,DBS
6,DBX
6,Db7
6,Db9
6,Rapide
6,V12 Vantage
6,V8 Vantage
6,Vanquish
6,Други
7,A1
7,A2
7,A3
7,A4 Allroad
7,A4
7,A5
7,A6
7,A6 Allroad
7,A7
7,A8
7,Allroad
7,Cabriolet
7,Coupe
7,E-Tron
7,E-Tron GT
7,Q2
7,Q3
7,Q4
7,Q5
7,Q6
7,Q7
7,Q8
7,Quattro
7,R8
7,RSQ3
7,RSQ8
7,RS2
7,RS3
7,RS4
7,RS5
7,RS6
7,RS7
7,S1
7,S2
7,S3
7,S4
7,S5
7,S6
7,S7
7,S8
7,SQ5
7,SQ7
7,SQ8
7,Tt
8,Arnage
8,Azure
8,Bentayga
8,Continental
8,Continental gt
8,Flying Spur
8,GT Convertible
8,Mulsanne
8,T-series
9,1-Series
9,114
9,116
9,118
9,120
9,123
9,125
9,128
9,130
9,135
9,140
9,1500
9,1600
9,1602
9,1800
9,1M
9,2-Series
9,2 Active Tourer
9,2 Gran Coupe
9,2 Gran Tourer
9,2000
9,2002
9,216
9,218
9,220
9,220 d
9,225
9,228
9,230
9,235
9,240
9,2800
9,3-Series
9,315
9,316
9,318
9,320
9,323
9,324
9,325
9,328
9,330
9,335
9,340
